,A,B,G,J,Q,R,Z,U
171,1,2,1,1,2,1,1,NA
172,2,1,2,2,1,2,2,NA
173,3,1,3,3,2,3,3,NA
174,2,1,2,2,1,2,2,NA
175,2,1,2,2,1,2,2,NA
176,0,1,0,0,1,0,0,NA
177,2,1,2,2,1,2,2,NA
178,3,3,3,0,2,0,3,NA
179,2,1,2,2,1,2,2,NA
180,2,1,2,2,1,2,2,NA
181,1,2,1,1,2,1,1,NA
182,2,1,2,2,1,2,2,NA
183,1,2,1,1,2,2,1,NA
184,1,1,1,2,1,2,1,NA
185,1,2,1,1,2,1,1,NA
186,2,1,2,2,1,2,2,NA
187,1,3,1,1,3,2,1,NA
188,1,2,1,1,2,1,1,NA
189,1,0,2,1,0,1,1,NA
190,1,2,1,1,2,1,1,NA
191,2,1,2,2,1,2,2,NA
192,1,2,1,1,2,1,1,NA
193,1,2,1,1,2,1,1,NA
194,3,1,3,3,1,2,3,NA
195,2,1,2,2,1,2,2,NA
196,1,0,1,1,0,1,1,NA
197,1,2,1,1,2,1,1,NA
198,1,2,1,1,2,1,1,NA
199,2,1,2,2,1,2,2,NA
200,2,1,2,2,1,2,2,NA
201,2,1,2,2,1,2,2,NA
202,2,1,2,2,1,2,2,NA
203,2,1,2,2,1,1,2,NA
204,2,1,2,2,1,2,2,NA
205,1,2,1,1,2,0,1,NA
206,2,1,2,2,1,2,2,NA
207,2,1,2,2,1,2,2,NA
208,2,1,2,2,1,2,2,NA
209,2,1,2,2,1,2,2,NA
210,1,0,1,2,1,2,1,NA
211,1,0,1,1,0,1,1,NA
212,1,0,1,1,0,1,1,NA
213,1,0,1,2,0,2,1,NA
214,2,1,2,1,1,1,1,NA
215,2,1,2,2,1,2,2,NA
216,1,2,1,1,2,1,1,NA
217,1,2,1,1,2,1,1,NA
218,2,1,2,2,1,2,2,NA
219,2,1,2,2,1,2,2,NA
220,1,1,1,2,1,2,1,NA
221,0,1,0,0,1,0,0,NA
222,2,1,2,2,1,2,2,NA
223,1,1,1,2,1,2,0,NA
224,2,1,0,2,1,2,2,NA
225,2,1,2,2,1,2,2,NA
226,2,1,2,2,1,2,2,NA
227,2,1,2,2,1,2,2,NA
228,3,2,1,3,2,4,3,NA
229,2,1,2,2,1,2,2,NA
230,1,2,1,1,2,1,1,NA
231,1,0,1,2,0,2,1,NA
232,2,1,2,2,1,2,2,NA
233,1,0,1,1,0,1,1,NA
234,2,1,2,2,1,2,2,NA
235,2,3,2,2,3,1,2,NA
236,2,1,2,2,1,2,2,NA
237,1,2,NA,1,2,1,1,NA
238,1,2,NA,1,2,1,1,NA
239,2,1,NA,2,1,2,2,NA
240,1,2,NA,1,2,1,1,NA
241,2,1,NA,1,1,1,2,NA
242,2,1,NA,2,1,2,2,NA
243,1,2,NA,2,2,2,1,NA
244,1,2,NA,1,2,1,1,NA
245,1,2,NA,1,2,1,1,NA
246,2,1,2,2,1,2,2,NA
247,2,1,2,2,1,2,2,NA
248,2,1,2,2,1,2,2,NA
249,2,1,2,2,1,2,2,NA
250,2,1,2,2,1,2,2,NA
251,1,2,1,1,2,1,1,NA
252,2,3,2,2,3,1,2,NA
253,2,1,2,2,1,2,2,NA
254,2,1,2,2,1,2,2,NA
255,1,2,1,1,2,1,1,NA
256,2,1,2,2,1,2,2,NA
257,2,1,2,1,1,1,2,NA
258,2,1,2,2,1,2,2,NA
259,2,1,2,2,1,2,2,NA
260,2,1,2,2,1,2,2,NA
261,0,1,0,1,1,1,0,NA
262,1,2,1,1,2,1,1,NA
263,2,1,2,2,1,2,2,NA
264,2,1,2,3,1,2,2,NA
265,2,1,2,2,1,2,2,NA
266,2,1,1,2,1,2,2,NA
267,2,1,2,2,1,2,2,NA
