0,A,B,G,J,Q,R,Z
383,1,2,1,1,2,1,1
384,1,2,1,0,2,0,1
385,1,1,1,2,1,2,1
386,2,1,2,2,1,2,2
387,1,2,1,1,2,1,1
388,1,1,1,1,1,2,2
390,1,2,1,1,2,1,1
391,2,1,2,2,1,2,2
392,1,2,1,1,2,1,1
393,1,2,1,1,2,1,1
394,3,2,1,1,2,2,2
395,2,1,2,1,1,1,2
396,2,1,2,2,1,2,2
397,1,2,1,1,2,1,1
